作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
漫研部,2013,TV 动画,2013 年电视动画第一季正篇第 1–13 话；授权流媒体分别列出的原版第 1–6 话和第 7–13 话两组内容；能够确认该 13 话 TV 版本的公开制作资料和数据库说明,主线,文类内百合,局部,明确欲望,2,主线 1、局部 1,明确欲望 1、非恋爱 1,双向 1、单向 1,以爱、麻衣、咪为中心，含ぽのか前辈的漫研部群像（主线／非恋爱／双向）；咪对“女初中生精灵”在线对象的局部欲望（局部／明确欲望／单向）,所核未见,所核未见,当前版本,出版载体、可见作品宣传,只有明确关系事实,无,高,否,否,否,是,是,是,是,否,否,是,否,否,每话约三分钟的高速荒诞喜剧，叙事跳跃且经常故意破坏因果；夸张肢体伤害、武器、战斗、侵略者和血腥或死亡笑料；排尿、呕吐、身体变形、性化笑话及面向青少年的粗俗恶搞；囚禁、威胁、强制性恶作剧和对角色身体的非自愿改造被当作笑点；FX、金钱损失、动物与超现实灾难等突发内容,日常,日本,漫画改,7171,0.03578066914498141,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/aimai_mi_tv_2013/
恶魔之谜,2014,TV 动画,2014 年播出的 TV 动画正篇第 1–12 话,主线,文类内百合,主线,明确欲望,2,主线 1、重要副线 1,明确欲望 2,相互性未确认 2,東兎角与一ノ瀬晴（主线／明确欲望／相互性未确认）；生田目千足与桐谷柩（重要副线／明确欲望／相互性未确认）,所核未见,是,当前版本,可见作品宣传,只有明确关系事实,无,高,否,否,是,是,是,是,是,否,否,否,否,是,"repeated attempted murder and assassination；stabbing, shooting, explosions and blood；teenagers placed in a coerced death game；family deaths and survivor trauma；psychological manipulation and institutional abuse；child abuse and exploitation in backstories；self-sacrificial violence；a staged apparent death and medically implausible survival reveal",战斗,日本,漫画改,7177,0.14673022493669,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/akuma_no_riddle_tv_2014/
婚姻剧毒,2026,TV 动画,2026 年 4 月 7 日至 6 月 30 日播出的 TV 动画正篇第 1–13 话,重要副线,文类外百合阅读,重要副线,明确交往,1,重要副线 1,明确交往 1,相互性未确认 1,下呂アカリ与未具名女友（重要副线／明确交往／相互性未确认）,所核未见,是,当前版本,其他、剧情／角色页、可见作品宣传、访谈／评论,只有明确关系事实,主导,高,是,否,否,是,是,否,否,否,否,否,否,是,强迫生育威胁；杀戮与战斗暴力；男性婚活与异性恋爱主线,恋爱、战斗,日本,漫画改,7185,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/marriagetoxin_tv_2026/
天使特警2,2009,TV 动画,2009-10-15 至 2010-03-25 播出的 TV 动画正式第 1–24 话；Bangumi subject 2726 所指的《キディ・ガーランド》TV 条目,主线,文类内百合,主线,明确交往,3,主线 1、重要副线 1、局部 1,明确交往 1、潜在恋爱 1、非恋爱 1,双向 2、单向 1,阿苏克露—柯·菲优（主线／明确交往／双向）；阿苏克露—特鲁西耶娜（局部／潜在恋爱／单向）；阿苏克露—柯·菲优—迪亚（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,副线,高,是,是,是,是,是,是,否,否,否,是,否,否,科幻战斗、爆炸、死亡威胁与大规模灾难；记忆植入、洗脑、复制人与身体／能力实验；未成年外观角色的身体笑料、内衣与泳装服务性画面；阿苏克露对特鲁西耶娜的短暂单向迷恋及柯·菲优的嫉妒反应；迪亚为能力增幅而亲吻两名女性；与主线恋爱关系的区分需要剧透说明；男性角色的权力控制、兄妹式关系和含混情感表述,,日本,原创,7194,0.11647254575707154,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/kiddy_girland_tv_2009/
恋姬无双,2008,TV 动画,2008 年 7 月 8 日至 9 月 23 日播出的《恋姫†無双》TV 正篇第 1–12 话；官方作品站、授权发行页和本季逐话资料中直接属于 2008 TV 第一季的内容；Bangumi subject 811、MyAnimeList 4262、AniList 4262 与 Anime-Planet 精确条目作为版本和公共分类对照,主线,文类内百合,重要副线,明确欲望,11,主线 2、重要副线 8、局部 1,明确欲望 2、潜在恋爱 1、非恋爱 8,双向 7、单向 2、相互性未确认 2,关羽与张飞的姊妹之契及桃花村旅队（主线／非恋爱／双向）；关羽、赵云与女性旅队的并肩行动（重要副线／非恋爱／双向）；张飞与诸葛亮的竞争、照护与旅队归属（重要副线／非恋爱／双向）；曹操对关羽的追求与交换条件（重要副线／明确欲望／单向）；夏侯惇对曹操的表亲爱慕与效忠（重要副线／明确欲望／单向）；曹操与荀彧的主从和性化权力关系（局部／非恋爱／相互性未确认）；孙策与周瑜的亲友、军师与政治搭档关系（重要副线／潜在恋爱／相互性未确认）；董卓、吕布与贾诩的照护共同体（重要副线／非恋爱／双向）；黄忠与女儿璃璃的亲情及关羽旅队的救援（重要副线／非恋爱／双向）；袁绍、文丑与颜良的阵营共同体（重要副线／非恋爱／双向）；多阵营女性武将组成的旅途与平乱共同体（主线／非恋爱／双向）,所核未见,是,原作、当前版本,出版载体、剧情／角色页、可见作品宣传,只有明确关系事实,副线,中,否,否,否,是,是,是,否,否,是,是,否,是,性化服装、裸露暗示、R+／Ecchi 取向和身体笑料；第 4 话字幕中曹操以赦免马超为条件要求关羽陪睡一夜，并表达占有欲；该文字证据涉及权力不对等和同意压力，未作视频或完整视听复核；历史人物戏仿、战斗、盗贼、绑架、威胁与政治冲突；第 12 话字幕中角色说男性冒名者“差点就热吻了”关羽；未作画面复核，不据此断言全季男性恋爱线的完整覆盖,,日本,游戏改,7270,0.11191239316239317,2026-08-02,https://l-m-sherlock.github.io/yuri-classification-archive/works/koihime_musou_tv_2008/
ViVid Strike!,2016,TV 动画,2016 年 TV 动画《ViVid Strike!》正式第 1–12 话；本 TV 版官方故事、角色、制作与播出资料中直接涉及本季的内容,主线,文类内百合,主线,潜在恋爱,4,主线 2、重要副线 2,潜在恋爱 1、非恋爱 3,双向 4,风香·雷文顿—凛音·贝尔利内塔的童年友谊、竞争与潜在恋爱方向（主线／潜在恋爱／双向）；风香—艾茵哈特的师徒、训练伙伴与竞技共同体（重要副线／非恋爱／双向）；凛音—吉尔·斯托拉的教练与照护关系（重要副线／非恋爱／双向）；中岛道场的少女训练伙伴共同体（主线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,是,未成年角色的格斗比赛、重击、骨折风险和身体伤害；孤儿院、童年分离、收养与校园欺凌；凛音受到多人欺凌并以暴力反击的创伤背景；魔法少女变身、贴身战斗和部分身体展示镜头；师徒与教练权力关系；不能把指导、照护或竞技尊敬改写成恋爱；本 TV 版没有主要角色的性取向身份明示，童年伙伴关系的恋爱化属于读者解读,战斗,日本,原创,7280,0.1,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/vivid_strike_tv_2016/
女皇之刃 叛乱,2012,TV 动画,2012 年 4 月 3 日至 6 月 19 日播出的《クイーンズブレイド リベリオン》TV 第 1–12 话,主线,文类内百合,局部,明确欲望,8,主线 1、重要副线 5、局部 2,明确欲望 1、潜在恋爱 1、非恋爱 6,双向 4、单向 2、不适用 2,安妮洛特与尤伊特（重要副线／非恋爱／双向）；安妮洛特与希姬（重要副线／非恋爱／不适用）；安妮洛特与其女性同伴群体（主线／非恋爱／双向）；安妮洛特与露娜露娜（局部／明确欲望／单向）；尤伊特与米莉姆（重要副线／非恋爱／双向）；安妮洛特与米莉姆（重要副线／非恋爱／双向）；尤米尔与米莉姆（重要副线／非恋爱／不适用）；艾莉娜与蕾娜、克劳黛特（局部／潜在恋爱／单向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,副线,中,否,否,否,是,是,是,否,否,是,是,否,否,成人向裸露、服装破损和持续的身体性化呈现；战斗伤害、死亡威胁、火刑威胁和宗教审判；奴役、以治疗费用为诱饵的强制招募、魔法实验和拘束；超振动铠甲造成的身体刺激与主体性受损；审讯、怪物吞食、触手和战败羞辱,,日本,游戏改,7297,0.05035128805620609,2026-08-08,https://l-m-sherlock.github.io/yuri-classification-archive/works/queens_blade_rebellion_tv_2012/
美妙射击部,2019,TV 动画,2019-10-13 至 2020-01-18 播出的《ライフル・イズ・ビューティフル》TV 正篇第 1–12 话；覆盖第 1–12 话的 MMSUB 简体中文 ASS 字幕文本，以及官方动画主页、故事页和角色页,主线,文类内百合,局部,明确欲望,6,主线 1、重要副线 2、局部 3,明确欲望 2、非恋爱 4,双向 2、相互性未确认 1、不适用 3,千鸟高中射击部四人共同体（主线／非恋爱／双向）；小仓光与涩泽泉水的幼驯染友情（重要副线／非恋爱／双向）；姪浜艾莉卡与东云明的表姐妹与竞技对手关系（局部／非恋爱／不适用）；千鸟四人与各校女选手的校际竞技共同体（重要副线／非恋爱／不适用）；小仓光—涩泽泉水—五十岚雪绪的结婚玩笑链（局部／明确欲望／相互性未确认）；贝岛沙由对女性的偏好自述（局部／明确欲望／不适用）,所核未见,所核未见,当前版本,剧情／角色页,明确身份自述,无,高,否,否,否,是,是,是,是,否,是,是,否,否,competitive_shooting_and_firearm_imagery；sports_pressure_and_match_losses；school_club_conflicts_and_coach_inexperience；comic_argument_and_teasing_between_teammates,日常,日本,漫画改,7302,0.09341586944288126,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/rifle_is_beautiful_tv_2019/
战翼的希格德莉法,2020,TV 动画,2020 年 10 月 3 日至 12 月 26 日播出的 TV 动画正篇第 1–12 话；范围内官方作品页、逐话故事页、角色页，以及对应的 Bangumi、AniList、MyAnimeList、Anime-Planet 条目；官方网页中可直接核对的女武神小队、战友、姐妹和共同体表述,主线,文类内百合,重要副线,潜在恋爱,8,主线 3、重要副线 3、局部 2,潜在恋爱 3、非恋爱 5,双向 6、相互性未确认 2,第909战术姬队女武神共同体（主线／非恋爱／双向）；克劳迪娅与宫古（主线／非恋爱／双向）；克劳迪娅与阿兹兹（主线／非恋爱／双向）；克劳迪娅与园香（重要副线／非恋爱／双向）；园香与弥生（重要副线／非恋爱／双向）；驹込·阿兹兹与天塚·弥生（局部／潜在恋爱／相互性未确认）；六车·宫古与天塚·弥生（局部／潜在恋爱／相互性未确认）；六车·宫古与驹込·阿兹兹（重要副线／潜在恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,战争、空战、爆炸、负伤与角色死亡；未成年或年轻女武神承担军事任务和牺牲风险；园香面对姐姐弥生死亡的哀伤、创伤和恢复；第 4 话泳装战斗、身体凝视和服务性喜剧；奥丁对人类与女武神的操纵、真相揭示和末日威胁,战斗,日本,原创,7303,0.08045234248788369,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/sigrdrifa_tv_2020/
洲崎西 THE ANIMATION,2015,TV 动画,2015 年 7 月 8 日至 9 月 23 日播出的《洲崎西 THE ANIMATION》电视动画第 1–12 话；本版本的官方故事简介、角色资料和正篇中两名转学生的校园喜剧关系,主线,文类内百合,主线,潜在恋爱,2,主线 1、重要副线 1,潜在恋爱 1、非恋爱 1,双向 2,洲崎綾与西明日香（动画角色）的转学生搭档（主线／潜在恋爱／双向）；两名转学生与班级及西家女性成员的日常共同体（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,否,是,否,否,三分钟短篇的快速吐槽和夸张颜艺；第 3 话标题涉及遮挡胸部的身体笑料；角色姓名和设定借用现实声优形象，不能据此判断演出者本人关系；校园喜剧中的身体尴尬与性暗示式玩笑,,日本,原创,7321,0.03223033949290933,2026-08-02,https://l-m-sherlock.github.io/yuri-classification-archive/works/suzakinishi_animation_tv_2015/
舰队Collection 剧场版,2016,剧场动画,2016 年 11 月 26 日上映的《劇場版 艦これ》正片（Bangumi subject 143093、AniList 21295、MyAnimeList 31418）,主线,文类内百合,重要副线,潜在恋爱,2,主线 1、重要副线 1,潜在恋爱 1、非恋爱 1,双向 2,吹雪、睦月与镇守府舰娘共同体（主线／非恋爱／双向）；睦月与如月的同伴、失落与重逢（重要副线／潜在恋爱／双向）,所核未见,所核未见,当前版本,出版载体、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,否,是,否,否,舰娘与深海栖舰的战斗、沉没和战争创伤；如月的失踪、再次出现及身份变化带来的哀伤和不安；前作设定延续、世界观解释密集，未看 TV 版的读者可能难以理解；本片没有可核对的女女恋爱确认，Bangumi 的百合标签不应当作交往保证,战斗,日本,游戏改,7324,0.0645933014354067,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/kancolle_movie_2016/
